date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,138583,3460,118533,16590,99234
2020-10-02,139893,3475,119783,16635,99506
2020-10-03,141236,3487,121087,16662,99635
2020-10-04,142538,3496,122333,16709,99755
2020-10-05,143865,3509,123738,16618,99797
2020-10-06,145200,3519,125211,16470,99684
2020-10-07,146511,3528,126625,16358,99452
2020-10-08,147789,3538,127886,16365,99182
2020-10-09,149032,3547,129404,16081,98601
2020-10-10,150253,3557,130860,15836,97728
2020-10-11,151434,3566,132273,15595,96705
2020-10-12,152603,3574,133715,15314,95549
2020-10-13,153761,3584,135090,15087,94278
2020-10-14,154936,3595,136504,14837,92750
2020-10-15,156121,3606,137833,14682,91351
2020-10-16,157312,3617,139112,14583,90098
2020-10-17,158473,3626,140382,14465,88968
2020-10-18,159564,3635,141615,14314,87968
2020-10-19,160560,3643,142762,14155,87036
2020-10-20,161686,3651,143890,14145,86344
2020-10-21,162823,3660,145070,14093,85755
2020-10-22,163959,3667,146271,14021,85193
2020-10-23,165071,3673,147535,13863,84591
2020-10-24,166092,3679,148548,13865,84142
2020-10-25,167011,3686,149511,13814,83801
2020-10-26,167919,3690,150613,13616,83272
2020-10-27,168911,3695,151851,13365,82544
2020-10-28,169891,3701,152958,13232,81755
2020-10-29,170878,3705,154041,13132,81024
2020-10-30,171847,3711,155068,13068,80227
2020-10-31,172782,3716,156082,12984,79397
