date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,184276,906,170867,12503,77313
2020-10-02,185707,910,172364,12433,76409
2020-10-03,186690,912,173795,11983,74935
2020-10-04,187951,915,175109,11927,73910
2020-10-05,188858,924,176674,11260,72483
2020-10-06,190123,925,177929,11269,71375
2020-10-07,191427,927,179351,11149,70021
2020-10-08,192671,929,180357,11385,68973
2020-10-09,193826,934,181781,11111,68101
2020-10-10,194966,944,183007,11015,67189
2020-10-11,196268,946,184224,11098,67027
2020-10-12,197000,955,185593,10452,66210
2020-10-13,198223,961,186623,10639,65700
2020-10-14,199549,967,187998,10584,64899
2020-10-15,200825,972,188802,11051,64839
2020-10-16,201887,981,190256,10650,64474
2020-10-17,203060,990,191515,10555,63931
2020-10-18,204212,996,192594,10622,64101
2020-10-19,205124,1003,193789,10332,63794
2020-10-20,206961,1011,194889,11061,64271
2020-10-21,208238,1019,196208,11011,64231
2020-10-22,209296,1026,197193,11077,64658
2020-10-23,210389,1034,198437,10918,65021
2020-10-24,211443,1042,199521,10880,65279
2020-10-25,212192,1049,200920,10223,65170
2020-10-26,212705,1058,202007,9640,63749
2020-10-27,213383,1065,203244,9074,61812
2020-10-28,214163,1069,204317,8777,59512
2020-10-29,214946,1076,205385,8485,57079
2020-10-30,215964,1084,206625,8255,54454
2020-10-31,216764,1090,207811,7863,52094
