date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,55508,1512,38147,15849,15849
2020-09-02,56989,1618,39742,15629,31478
2020-09-03,58515,1690,41271,15554,47032
2020-09-04,60013,1739,42543,15731,62763
2020-09-05,61527,1808,43849,15870,78633
2020-09-06,63473,1862,45455,16156,94789
2020-09-07,65583,1923,47020,16640,95580
2020-09-08,67547,1990,49327,16230,96181
2020-09-09,69684,2061,50558,17065,97692
2020-09-10,72143,2149,51906,18088,100049
2020-09-11,74616,2212,53308,19096,103275
2020-09-12,77057,2288,55385,19384,106503
2020-09-13,79679,2356,57536,19787,109650
2020-09-14,82100,2423,58984,20693,114113
2020-09-15,84482,2514,60814,21154,118202
2020-09-16,87184,2592,63570,21022,121136
2020-09-17,90032,2646,65818,21568,123608
2020-09-18,92806,2706,68458,21642,125866
2020-09-19,95529,2757,70373,22399,128478
2020-09-20,97689,2813,72598,22278,130063
2020-09-21,99930,2860,75409,21661,130570
2020-09-22,101341,2926,77127,21288,130836
2020-09-23,103464,2990,79244,21230,130498
2020-09-24,105220,3066,81475,20679,129535
2020-09-25,107096,3134,84025,19937,127073
2020-09-26,108684,3188,86013,19483,124278
2020-09-27,110106,3238,88312,18556,121173
2020-09-28,111375,3284,90345,17746,117631
2020-09-29,112460,3359,92277,16824,113225
2020-09-30,113886,3406,93666,16814,109360
