date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,387225,5591,333587,48047,306455
2020-10-02,390911,5641,338484,46786,298428
2020-10-03,394404,5697,343066,45641,290707
2020-10-04,398021,5746,348069,44206,283188
2020-10-05,400894,5804,352099,42991,276261
2020-10-06,404232,5863,356355,42014,269685
2020-10-07,407472,5906,360369,41197,262835
2020-10-08,410465,5947,363962,40556,256605
2020-10-09,413546,5992,368190,39364,250328
2020-10-10,416413,6048,372039,38326,244448
2020-10-11,419508,6084,375264,38160,239617
2020-10-12,421639,6126,378401,37112,234715
2020-10-13,424318,6152,381932,36234,229752
2020-10-14,426803,6189,385495,35119,224315
2020-10-15,429312,6221,388619,34472,219423
2020-10-16,431771,6265,392014,33492,214589
2020-10-17,434353,6304,395412,32637,209066
2020-10-18,436846,6331,399369,31146,203100
2020-10-19,438468,6356,402325,29787,196653
2020-10-20,440673,6385,405444,28844,190378
2020-10-21,442897,6424,408646,27827,183733
2020-10-22,445171,6456,411148,27567,177808
2020-10-23,447243,6496,414017,26730,171901
2020-10-24,449301,6518,416632,26151,166906
2020-10-25,451242,6544,418895,25803,162922
2020-10-26,452915,6561,421226,25128,159206
2020-10-27,454847,6597,423434,24816,156195
2020-10-28,456741,6613,426051,24077,152705
2020-10-29,458515,6633,428455,23427,149402
2020-10-30,460590,6655,430796,23139,146390
2020-10-31,462285,6671,433088,22526,143113
