date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,2386,2,2124,260,260
2020-09-02,2435,2,2143,290,550
2020-09-03,2467,2,2182,283,833
2020-09-04,2510,2,2204,304,1137
2020-09-05,2537,2,2236,299,1436
2020-09-06,2575,2,2263,310,1746
2020-09-07,2590,2,2283,305,1791
2020-09-08,2617,2,2315,300,1801
2020-09-09,2643,2,2339,302,1820
2020-09-10,2671,2,2368,301,1817
2020-09-11,2696,2,2407,287,1805
2020-09-12,2725,2,2437,286,1781
2020-09-13,2745,2,2481,262,1738
2020-09-14,2765,2,2506,257,1695
2020-09-15,2783,2,2543,238,1631
2020-09-16,2810,2,2566,242,1572
2020-09-17,2831,2,2599,230,1515
2020-09-18,2859,2,2630,227,1456
2020-09-19,2887,2,2658,227,1421
2020-09-20,2924,2,2674,248,1412
2020-09-21,2933,2,2695,236,1410
2020-09-22,2944,2,2725,217,1385
2020-09-23,2962,2,2734,226,1381
2020-09-24,2977,2,2760,215,1369
2020-09-25,2989,2,2779,208,1350
2020-09-26,2996,2,2804,190,1292
2020-09-27,3002,2,2820,180,1236
2020-09-28,3012,2,2850,160,1179
2020-09-29,3032,2,2883,147,1100
2020-09-30,3040,2,2902,136,1021
