date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,9582,16,6711,2855,15740
2020-10-02,9779,18,6840,2921,16288
2020-10-03,9969,18,7044,2907,16783
2020-10-04,10087,18,7221,2848,17012
2020-10-05,10311,19,7410,2882,17207
2020-10-06,10524,20,7584,2920,17333
2020-10-07,10780,21,7999,2760,17238
2020-10-08,10975,22,8269,2684,17001
2020-10-09,11249,23,8460,2766,16860
2020-10-10,11477,23,8600,2854,16866
2020-10-11,11616,24,8787,2805,16789
2020-10-12,11833,24,8953,2856,16725
2020-10-13,12027,28,9114,2885,16850
2020-10-14,12222,29,9225,2968,17134
2020-10-15,12421,30,9414,2977,17345
2020-10-16,12612,30,9586,2996,17487
2020-10-17,12788,30,9819,2939,17621
2020-10-18,12842,30,10048,2764,17529
2020-10-19,13075,30,10256,2789,17433
2020-10-20,13207,31,10502,2674,17139
2020-10-21,13339,31,10665,2643,16805
2020-10-22,13499,32,10872,2595,16404
2020-10-23,13565,33,11073,2459,15924
2020-10-24,13631,33,11230,2368,15528
2020-10-25,13664,33,11397,2234,14973
2020-10-26,13804,35,11620,2149,14448
2020-10-27,13884,36,11735,2113,13918
2020-10-28,13986,36,11917,2033,13356
2020-10-29,14072,37,12055,1980,12877
2020-10-30,14156,37,12205,1914,12423
2020-10-31,14250,37,12381,1832,12021
