date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,66134,705,53615,11814,11814
2020-09-02,67924,720,54655,12549,24363
2020-09-03,69795,739,55667,13389,37752
2020-09-04,71667,758,56949,13960,51712
2020-09-05,73956,780,58345,14831,66543
2020-09-06,76229,805,59816,15608,82151
2020-09-07,78451,828,61372,16251,86588
2020-09-08,80733,853,63074,16806,90845
2020-09-09,83018,881,64902,17235,94691
2020-09-10,85607,906,66464,18237,98968
2020-09-11,87989,931,68276,18782,102919
2020-09-12,90764,955,70461,19348,106659
2020-09-13,93265,974,72320,19971,110379
2020-09-14,95718,999,74445,20274,113847
2020-09-15,98206,1025,76899,20282,116894
2020-09-16,100900,1044,78664,21192,119849
2020-09-17,103308,1068,81399,20841,121908
2020-09-18,105780,1091,83577,21112,123672
2020-09-19,108451,1119,85849,21483,125184
2020-09-20,110741,1148,88393,21200,126110
2020-09-21,112550,1176,90575,20799,126627
2020-09-22,114340,1205,93466,19669,125104
2020-09-23,116315,1232,96032,19051,123314
2020-09-24,118008,1254,98092,18662,120864
2020-09-25,120021,1272,100930,17819,117200
2020-09-26,121699,1289,103475,16935,112935
2020-09-27,123203,1305,105627,16271,108407
2020-09-28,124824,1329,108040,15455,104193
2020-09-29,126375,1354,110415,14606,99748
2020-09-30,127988,1380,112476,14132,95218
