date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,697340,5869,633613,57858,369524
2020-10-02,703895,5900,641098,56897,360627
2020-10-03,710119,5941,648896,55282,351033
2020-10-04,716361,5981,655980,54400,342317
2020-10-05,720617,6019,663538,51060,333942
2020-10-06,726412,6052,669584,50776,326273
2020-10-07,731532,6086,675933,49513,317928
2020-10-08,736824,6128,682035,48661,309692
2020-10-09,741969,6159,688145,47665,302075
2020-10-10,747622,6194,694804,46624,294299
2020-10-11,752832,6224,700313,46295,289534
2020-10-12,756056,6256,705817,43983,282741
2020-10-13,760678,6291,711532,42855,276083
2020-10-14,764570,6319,716582,41669,269091
2020-10-15,768608,6357,722204,40047,261473
2020-10-16,772575,6382,727214,38979,253828
2020-10-17,776251,6406,732743,37102,244635
2020-10-18,780237,6429,737334,36474,237126
2020-10-19,783155,6453,741637,35065,229336
2020-10-20,786658,6481,746781,33396,221063
2020-10-21,790404,6508,751520,32376,213392
2020-10-22,794024,6524,755243,32257,206670
2020-10-23,797789,6544,759524,31721,201289
2020-10-24,801131,6566,763096,31469,196284
2020-10-25,804128,6587,766681,30860,192079
2020-10-26,806029,6606,770653,28770,187453
2020-10-27,808930,6625,775005,27300,182377
2020-10-28,811879,6643,778614,26622,176742
2020-10-29,814784,6659,781857,26268,171289
2020-10-30,817670,6676,785480,25514,165334
2020-10-31,820453,6690,789188,24575,159049
