date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,161534,3245,134381,23908,23908
2020-09-02,164407,3300,137504,23603,47511
2020-09-03,167330,3354,140761,23215,70726
2020-09-04,170166,3410,143969,22787,93513
2020-09-05,173077,3468,147121,22488,116001
2020-09-06,176029,3518,150159,22352,138353
2020-09-07,178943,3576,153082,22285,136730
2020-09-08,181912,3633,155979,22300,135427
2020-09-09,184849,3684,158831,22334,134546
2020-09-10,187821,3724,161810,22287,134046
2020-09-11,190811,3779,164699,22333,133891
2020-09-12,193821,3838,167597,22386,133925
2020-09-13,196904,3895,170494,22515,134155
2020-09-14,200014,3952,173453,22609,134464
2020-09-15,203107,4011,176223,22873,135003
2020-09-16,206209,4071,179042,23096,135812
2020-09-17,209242,4130,181859,23253,136732
2020-09-18,212278,4187,184679,23412,137758
2020-09-19,215340,4243,187522,23575,138818
2020-09-20,218356,4304,190373,23679,139888
2020-09-21,221379,4366,193273,23740,140755
2020-09-22,224429,4427,196207,23795,141454
2020-09-23,227473,4487,199049,23937,142138
2020-09-24,230553,4545,201913,24095,142821
2020-09-25,233625,4602,204738,24285,143531
2020-09-26,236671,4655,207566,24450,144302
2020-09-27,239749,4714,210460,24575,145137
2020-09-28,242782,4769,213225,24788,146130
2020-09-29,245878,4828,216020,25030,147223
2020-09-30,249047,4882,218838,25327,148455
