date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,112319,946,82273,29100,178561
2020-10-02,114871,962,85397,28512,178047
2020-10-03,117338,991,88325,28022,176092
2020-10-04,119174,1005,90898,27271,172083
2020-10-05,121731,1041,94152,26538,168860
2020-10-06,124422,1064,97365,25993,165436
2020-10-07,127103,1088,99735,26280,162616
2020-10-08,129852,1112,101856,26884,160988
2020-10-09,132635,1148,104638,26849,159815
2020-10-10,135183,1185,107336,26662,159206
2020-10-11,137152,1202,109255,26695,159363
2020-10-12,139865,1235,111896,26734,160104
2020-10-13,142352,1255,114594,26503,160327
2020-10-14,145035,1287,116660,27088,160531
2020-10-15,147723,1331,118941,27451,161133
2020-10-16,150067,1371,121716,26980,161451
2020-10-17,152451,1385,124563,26503,161259
2020-10-18,154258,1424,126736,26098,160623
2020-10-19,156523,1480,129640,25403,159523
2020-10-20,158898,1530,132187,25181,157616
2020-10-21,161168,1572,134337,25259,155424
2020-10-22,163541,1624,137178,24739,153183
2020-10-23,165890,1682,139937,24271,150951
2020-10-24,167789,1737,142529,23523,148376
2020-10-25,169084,1762,143876,23446,146419
2020-10-26,170673,1805,147021,21847,143085
2020-10-27,172674,1825,149435,21414,139240
2020-10-28,174556,1878,150827,21851,136352
2020-10-29,176500,1929,152570,22001,134082
2020-10-30,178146,1978,154194,21974,132533
2020-10-31,180056,2041,156314,21701,130788
