date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,782443,24377,564928,193138,193138
2020-09-02,799214,24663,578335,196216,389354
2020-09-03,816488,25040,591767,199681,589035
2020-09-04,834816,25394,604670,204752,793787
2020-09-05,854686,25686,615237,213763,1007550
2020-09-06,877337,26004,622864,228469,1236019
2020-09-07,893282,26422,637281,229579,1272460
2020-09-08,912463,26791,649904,235768,1312012
2020-09-09,935247,27159,662869,245219,1357550
2020-09-10,957960,27634,676296,254030,1406828
2020-09-11,982007,28051,690062,263894,1456959
2020-09-12,1003356,28417,703164,271775,1500265
2020-09-13,1024918,28815,714366,281737,1552423
2020-09-14,1040675,29165,729522,281988,1598643
2020-09-15,1060315,29652,748368,282295,1635719
2020-09-16,1082418,30087,765342,286989,1668678
2020-09-17,1105938,30536,784236,291166,1695950
2020-09-18,1126439,30952,805422,290065,1714240
2020-09-19,1145795,31352,828443,286000,1718503
2020-09-20,1165373,31789,854103,279481,1715996
2020-09-21,1180666,32118,885001,263547,1697248
2020-09-22,1198203,32491,904085,261627,1671886
2020-09-23,1218285,32954,922600,262731,1643451
2020-09-24,1236580,33384,939093,264103,1617489
2020-09-25,1253520,33778,958047,261695,1593184
2020-09-26,1273119,34195,980345,258579,1572282
2020-09-27,1290322,34560,993253,262509,1571244
2020-09-28,1301782,34738,1012377,254667,1564284
2020-09-29,1315991,35149,1030930,249912,1551465
2020-09-30,1333447,35609,1049220,248618,1535980
