date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,82826,1030,67862,13934,13934
2020-09-02,84337,1042,70412,12883,26817
2020-09-03,85890,1056,70958,13876,40693
2020-09-04,87460,1069,71637,14754,55447
2020-09-05,89026,1083,72977,14966,70413
2020-09-06,90619,1098,74593,14928,85341
2020-09-07,92199,1112,76157,14930,86337
2020-09-08,93789,1125,77602,15062,88516
2020-09-09,95399,1139,79179,15081,89721
2020-09-10,97039,1153,80211,15675,90642
2020-09-11,98699,1168,81698,15833,91509
2020-09-12,100368,1182,82630,16556,93137
2020-09-13,102071,1197,84246,16628,94835
2020-09-14,103801,1211,85890,16700,96473
2020-09-15,105561,1225,87601,16735,98127
2020-09-16,107343,1240,89080,17023,99475
2020-09-17,109136,1254,90413,17469,101111
2020-09-18,110953,1269,91993,17691,102246
2020-09-19,112787,1283,93533,17971,103589
2020-09-20,114652,1297,95197,18158,105047
2020-09-21,116544,1313,97012,18219,106531
2020-09-22,118456,1328,98540,18588,108096
2020-09-23,120402,1343,100093,18966,109593
2020-09-24,122383,1358,102032,18993,110895
2020-09-25,124393,1373,103990,19030,111954
2020-09-26,126438,1387,105696,19355,113151
2020-09-27,128522,1402,107420,19700,114632
2020-09-28,130634,1417,109174,20043,116087
2020-09-29,132782,1432,110974,20376,117497
2020-09-30,134955,1447,112927,20581,119085
