date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,2733,35,1978,720,720
2020-09-02,2785,35,2007,743,1463
2020-09-03,2840,35,2039,766,2229
2020-09-04,2935,35,2085,815,3044
2020-09-05,2996,35,2127,834,3878
2020-09-06,3036,35,2151,850,4728
2020-09-07,3064,35,2211,818,4826
2020-09-08,3102,35,2288,779,4862
2020-09-09,3142,35,2329,778,4874
2020-09-10,3177,36,2366,775,4834
2020-09-11,3228,38,2387,803,4803
2020-09-12,3294,39,2414,841,4794
2020-09-13,3345,40,2436,869,4845
2020-09-14,3419,41,2475,903,4969
2020-09-15,3499,44,2517,938,5129
2020-09-16,3535,46,2536,953,5307
2020-09-17,3576,47,2558,971,5475
2020-09-18,3635,48,2600,987,5621
2020-09-19,3708,49,2666,993,5745
2020-09-20,3753,49,2691,1013,5855
2020-09-21,3832,50,2735,1047,5964
2020-09-22,3887,50,2809,1028,6039
2020-09-23,3933,51,2844,1038,6106
2020-09-24,3969,54,2893,1022,6141
2020-09-25,4025,56,2971,998,6146
2020-09-26,4093,57,3018,1018,6151
2020-09-27,4103,58,3032,1013,6117
2020-09-28,4152,58,3064,1030,6119
2020-09-29,4195,58,3107,1030,6111
2020-09-30,4269,58,3147,1064,6153
