date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,28024,525,22505,4994,30456
2020-10-02,28534,532,22948,5054,30183
2020-10-03,28752,534,23344,4874,29818
2020-10-04,29089,539,23763,4787,29591
2020-10-05,29277,543,24221,4513,29171
2020-10-06,29682,546,24614,4522,28744
2020-10-07,30161,551,24930,4680,28430
2020-10-08,30539,556,25256,4727,28103
2020-10-09,30904,558,25543,4803,28032
2020-10-10,31241,559,25954,4728,27973
2020-10-11,31549,563,26291,4695,28155
2020-10-12,31737,565,26555,4617,28250
2020-10-13,32004,567,26865,4572,28142
2020-10-14,32245,568,27152,4525,27940
2020-10-15,32486,570,27365,4551,27688
2020-10-16,32766,571,27671,4524,27484
2020-10-17,32978,574,27984,4420,27209
2020-10-18,33141,574,28290,4277,26869
2020-10-19,33247,575,28520,4152,26449
2020-10-20,33452,577,28774,4101,26025
2020-10-21,33622,580,29016,4026,25500
2020-10-22,33832,582,29211,4039,25015
2020-10-23,33986,584,29427,3975,24570
2020-10-24,34112,586,29614,3912,24205
2020-10-25,34193,588,29801,3804,23857
2020-10-26,34336,588,29990,3758,23514
2020-10-27,34482,588,30153,3741,23229
2020-10-28,34583,590,30307,3686,22876
2020-10-29,34761,592,30449,3720,22621
2020-10-30,34908,592,30577,3739,22448
2020-10-31,35013,592,30724,3697,22341
