date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,351445,5834,254593,91018,91018
2020-09-02,361305,5947,260880,94478,185496
2020-09-03,370170,6051,268002,96117,281613
2020-09-04,379450,6167,274163,99120,380733
2020-09-05,389196,6295,283265,99636,480369
2020-09-06,398515,6390,292840,99285,579654
2020-09-07,404288,6531,300737,97020,585656
2020-09-08,412154,6677,308540,96937,588115
2020-09-09,421694,6805,315400,99489,591487
2020-09-10,430911,6934,322421,101556,593923
2020-09-11,440375,7064,334966,98345,592632
2020-09-12,449515,7158,344523,97834,591181
2020-09-13,459409,7262,352925,99222,593383
2020-09-14,467653,7381,361790,98482,594928
2020-09-15,475229,7478,369196,98555,593994
2020-09-16,484954,7533,375776,101645,594083
2020-09-17,494320,7626,383044,103650,599388
2020-09-18,502946,7805,393993,101148,602702
2020-09-19,511310,7919,404808,98583,602063
2020-09-20,519501,8020,413419,98062,601643
2020-09-21,526840,8142,423344,95354,598442
2020-09-22,533814,8225,432417,93172,589969
2020-09-23,540811,8263,437877,94671,580990
2020-09-24,548521,8328,444625,95568,575410
2020-09-25,557176,8414,450269,98493,575320
2020-09-26,565987,8500,455686,101801,579059
2020-09-27,575530,8579,462208,104743,588448
2020-09-28,582422,8638,469717,104067,599343
2020-09-29,592875,8774,476345,107756,612428
2020-09-30,601731,8861,485235,107635,624495
