date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,2440,12,1235,1193,1193
2020-09-02,2517,13,1318,1186,2379
2020-09-03,2626,13,1393,1220,3599
2020-09-04,2734,14,1468,1252,4851
2020-09-05,2916,15,1527,1374,6225
2020-09-06,3005,16,1556,1433,7658
2020-09-07,3034,17,1560,1457,7922
2020-09-08,3076,17,1716,1343,8079
2020-09-09,3197,19,1823,1355,8214
2020-09-10,3296,20,1842,1434,8396
2020-09-11,3447,24,1889,1534,8556
2020-09-12,3615,25,2020,1570,8693
2020-09-13,3724,26,2075,1623,8859
2020-09-14,3863,28,2151,1684,9200
2020-09-15,4037,29,2190,1818,9663
2020-09-16,4195,29,2264,1902,10131
2020-09-17,4357,32,2342,1983,10580
2020-09-18,4447,34,2437,1976,10986
2020-09-19,4559,36,2483,2040,11403
2020-09-20,4660,36,2513,2111,11830
2020-09-21,4733,38,2528,2167,12179
2020-09-22,4791,40,2707,2044,12321
2020-09-23,4961,40,2860,2061,12399
2020-09-24,5083,40,3059,1984,12407
2020-09-25,5163,40,3344,1779,12146
2020-09-26,5212,43,3654,1515,11550
2020-09-27,5302,43,3779,1480,10863
2020-09-28,5362,46,3868,1448,10267
2020-09-29,5463,47,3940,1476,9682
2020-09-30,5639,49,3975,1615,9313
