date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,20398,280,14012,6106,6106
2020-09-02,21234,291,14437,6506,12612
2020-09-03,22180,300,14945,6935,19547
2020-09-04,23011,312,15447,7252,26799
2020-09-05,23961,330,15982,7649,34448
2020-09-06,24629,341,16573,7715,42163
2020-09-07,25436,348,17046,8042,44099
2020-09-08,26094,360,17473,8261,45854
2020-09-09,27211,372,18262,8577,47496
2020-09-10,28226,377,18783,9066,49310
2020-09-11,29221,388,19428,9405,51066
2020-09-12,30336,402,20031,9903,53254
2020-09-13,31973,414,21040,10519,55731
2020-09-14,33016,429,22077,10510,57980
2020-09-15,34407,438,23085,10884,60287
2020-09-16,35947,447,24277,11223,62444
2020-09-17,37139,460,24810,11869,64908
2020-09-18,38007,464,26095,11448,66453
2020-09-19,40085,478,26973,12634,68568
2020-09-20,40963,491,27828,12644,70702
2020-09-21,41777,501,29000,12276,72094
2020-09-22,42651,512,30107,12032,72903
2020-09-23,43720,529,31123,12068,73102
2020-09-24,44404,542,32154,11708,73362
2020-09-25,45332,555,33642,11135,71863
2020-09-26,46281,566,34649,11066,70285
2020-09-27,47045,574,35462,11009,69018
2020-09-28,47502,580,36646,10276,67262
2020-09-29,47995,591,38059,9345,64539
2020-09-30,49000,611,39035,9354,62185
