date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,1998,0,1701,297,2590
2020-10-02,2029,0,1716,313,2395
2020-10-03,2083,0,1752,331,2230
2020-10-04,2100,0,1771,329,2068
2020-10-05,2100,0,1817,283,1941
2020-10-06,2108,0,1867,241,1794
2020-10-07,2127,0,1875,252,1749
2020-10-08,2128,0,1906,222,1658
2020-10-09,2135,0,1954,181,1508
2020-10-10,2140,0,1964,176,1355
2020-10-11,2153,0,1990,163,1235
2020-10-12,2162,0,2026,136,1130
2020-10-13,2180,0,2073,107,985
2020-10-14,2190,0,2088,102,865
2020-10-15,2198,0,2101,97,781
2020-10-16,2206,0,2107,99,704
2020-10-17,2221,0,2115,106,647
2020-10-18,2229,0,2126,103,614
2020-10-19,2229,0,2129,100,607
2020-10-20,2256,0,2141,115,620
2020-10-21,2284,0,2152,132,655
2020-10-22,2315,0,2153,162,718
2020-10-23,2333,0,2162,171,783
2020-10-24,2363,0,2172,191,871
2020-10-25,2414,0,2172,242,1013
2020-10-26,2460,0,2186,274,1172
2020-10-27,2494,0,2200,294,1334
2020-10-28,2572,1,2214,357,1529
2020-10-29,2621,1,2232,388,1746
2020-10-30,2659,1,2246,412,1967
2020-10-31,2687,1,2267,419,2144
