date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-09-01,4550,57,2551,1942,1942
2020-09-02,4789,59,2670,2060,4002
2020-09-03,5065,63,2883,2119,6121
2020-09-04,5268,68,3105,2095,8216
2020-09-05,5502,69,3290,2143,10359
2020-09-06,5763,71,3439,2253,12612
2020-09-07,5995,74,3734,2187,12857
2020-09-08,6372,75,3960,2337,13134
2020-09-09,6704,77,4140,2487,13502
2020-09-10,6987,80,4331,2576,13983
2020-09-11,7292,83,4600,2609,14449
2020-09-12,7542,89,4864,2589,14785
2020-09-13,7991,90,5170,2731,15329
2020-09-14,8245,95,5300,2850,15842
2020-09-15,8592,96,5502,2994,16349
2020-09-16,8958,101,5683,3174,16947
2020-09-17,9246,106,6062,3078,17416
2020-09-18,9506,110,6415,2981,17808
2020-09-19,9796,116,6766,2914,17991
2020-09-20,10082,120,7138,2824,17965
2020-09-21,10298,123,7411,2764,17735
2020-09-22,10546,127,7794,2625,17186
2020-09-23,10726,137,8049,2540,16648
2020-09-24,10968,144,8342,2482,16149
2020-09-25,11212,145,8677,2390,15625
2020-09-26,11380,145,8937,2298,15099
2020-09-27,11553,147,9103,2303,14638
2020-09-28,11678,153,9325,2200,14213
2020-09-29,11816,158,9598,2060,13733
2020-09-30,11938,162,9813,1963,13214
