date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,217472,912,186878,29682,189150
2020-10-02,220914,928,190613,29373,185951
2020-10-03,223820,945,194530,28345,181329
2020-10-04,226997,960,198349,27688,176804
2020-10-05,229508,977,202160,26371,171926
2020-10-06,232095,993,205813,25289,166748
2020-10-07,234888,1011,209025,24852,161918
2020-10-08,237902,1027,212137,24738,157283
2020-10-09,240505,1044,215377,24084,153022
2020-10-10,243271,1059,219094,23118,148452
2020-10-11,245731,1075,222211,22445,144526
2020-10-12,248079,1093,224633,22353,141590
2020-10-13,250287,1110,227279,21898,138636
2020-10-14,252817,1125,229954,21738,135636
2020-10-15,255215,1142,232642,21431,132983
2020-10-16,257291,1157,235289,20845,130710
2020-10-17,259437,1174,238003,20260,128525
2020-10-18,261400,1188,240520,19692,125864
2020-10-19,263317,1205,243188,18924,122890
2020-10-20,265178,1221,245731,18226,119378
2020-10-21,267058,1234,248361,17463,115410
2020-10-22,268921,1249,250396,17276,111841
2020-10-23,270670,1267,252705,16698,108279
2020-10-24,272330,1282,255249,15799,104386
2020-10-25,273932,1298,257263,15371,100833
2020-10-26,275386,1312,259216,14858,97465
2020-10-27,276604,1325,261171,14108,94110
2020-10-28,278108,1337,263116,13655,90489
2020-10-29,279689,1350,264983,13356,87147
2020-10-30,281203,1361,266735,13107,84455
2020-10-31,282643,1373,268595,12675,81759
