date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,15219,190,11588,3441,21948
2020-10-02,15454,197,11976,3281,21102
2020-10-03,15695,205,12173,3317,20737
2020-10-04,15851,212,12341,3298,20360
2020-10-05,16033,219,12633,3181,19943
2020-10-06,16283,224,12898,3161,19679
2020-10-07,16565,226,13316,3023,19261
2020-10-08,16778,233,13583,2962,18942
2020-10-09,16977,240,13861,2876,18501
2020-10-10,17244,243,14261,2740,17943
2020-10-11,17408,245,14451,2712,17474
2020-10-12,17578,246,14670,2662,16975
2020-10-13,17762,249,14982,2531,16483
2020-10-14,18008,250,15214,2544,16065
2020-10-15,18303,255,15367,2681,15870
2020-10-16,18522,257,15586,2679,15809
2020-10-17,18797,260,15820,2717,15814
2020-10-18,18967,263,16037,2667,15819
2020-10-19,19135,267,16238,2630,15918
2020-10-20,19357,269,16454,2634,16008
2020-10-21,19621,274,16673,2674,16001
2020-10-22,19844,279,16911,2654,15976
2020-10-23,20040,280,17113,2647,15906
2020-10-24,20213,285,17296,2632,15871
2020-10-25,20370,286,17568,2516,15757
2020-10-26,20586,288,17760,2538,15661
2020-10-27,20817,293,17974,2550,15537
2020-10-28,21149,295,18179,2675,15558
2020-10-29,21476,301,18378,2797,15708
2020-10-30,21577,306,18517,2754,15830
2020-10-31,22059,312,18838,2909,16223
