date,sum(confirmed),sum(deaths),sum(recovered),sum(active),window_active
2020-10-01,552610,8785,500432,43393,258499
2020-10-02,557683,8850,505774,43059,258713
2020-10-03,562790,8911,510994,42885,258683
2020-10-04,567747,8965,516117,42665,258249
2020-10-05,572675,9018,521312,42345,257496
2020-10-06,577369,9086,526382,41901,256248
2020-10-07,582380,9150,531498,41732,254587
2020-10-08,587024,9213,536696,41115,252643
2020-10-09,591806,9273,541525,41008,250766
2020-10-10,596667,9333,546196,41138,249239
2020-10-11,601366,9394,550743,41229,248123
2020-10-12,605895,9447,555507,40941,247163
2020-10-13,610222,9496,560180,40546,245977
2020-10-14,614337,9544,564867,39926,244788
2020-10-15,618398,9590,569483,39325,243105
2020-10-16,622397,9643,574327,38427,240394
2020-10-17,626383,9691,578902,37790,236955
2020-10-18,630074,9740,583472,36862,232876
2020-10-19,633297,9788,587583,35926,228256
2020-10-20,636122,9829,591663,34630,222960
2020-10-21,638926,9864,595599,33463,217098
2020-10-22,641724,9904,599564,32256,210927
2020-10-23,644544,9936,603477,31131,204268
2020-10-24,647212,9966,607172,30074,197480
2020-10-25,649778,9992,610945,28841,190395
2020-10-26,652298,10015,614666,27617,183382
2020-10-27,654625,10040,618451,26134,176053
2020-10-28,656888,10072,622025,24791,168588
2020-10-29,659354,10105,625822,23427,160884
2020-10-30,661769,10142,629481,22146,152956
2020-10-31,664070,10171,633051,20848,144963
